"STATE","Year","CAUSE","FIRETYPE","SIZECLASS","count"
"Alabama",1990,"","Support action/Assist fire",NA,1
"Alabama",1990,"Human","Active/Suppressed",0.05,5
"Alabama",1990,"Human","Active/Suppressed",2,10
"Alabama",1990,"Human","Active/Suppressed",22,2
"Alabama",1990,"Human","Unknown",0.05,12
"Alabama",1990,"Human","Unknown",2,39
"Alabama",1990,"Human","Unknown",22,33
"Alabama",1990,"Human","Unknown",80,2
"Alabama",1990,"Natural","Active/Suppressed",0.05,1
"Alabama",1990,"Natural","Active/Suppressed",2,1
"Alabama",1990,"Natural","Unknown",22,1
"Alabama",1991,"Human","Active/Suppressed",0.05,3
"Alabama",1991,"Human","Active/Suppressed",2,8
"Alabama",1991,"Human","Active/Suppressed",22,4
"Alabama",1991,"Human","Unknown",0.05,6
"Alabama",1991,"Human","Unknown",2,38
"Alabama",1991,"Human","Unknown",22,11
"Alabama",1991,"Human","Unknown",80,1
"Alabama",1991,"Natural","Active/Suppressed",262.5,1
"Alabama",1991,"Natural","Unknown",2,16
"Alabama",1991,"Natural","Unknown",22,4
"Alabama",1992,"Human","Active/Suppressed",0.05,4
"Alabama",1992,"Human","Active/Suppressed",2,5
"Alabama",1992,"Human","Active/Suppressed",22,3
"Alabama",1992,"Human","Active/Suppressed",80,1
"Alabama",1992,"Human","Unknown",0.05,16
"Alabama",1992,"Human","Unknown",2,29
"Alabama",1992,"Human","Unknown",22,16
"Alabama",1992,"Human","Unknown",80,1
"Alabama",1992,"Natural","Unknown",0.05,1
"Alabama",1992,"Natural","Unknown",2,13
"Alabama",1992,"Natural","Unknown",22,1
"Alabama",1993,"Human","Active/Suppressed",0.05,1
"Alabama",1993,"Human","Active/Suppressed",2,11
"Alabama",1993,"Human","Active/Suppressed",22,9
"Alabama",1993,"Human","Active/Suppressed",80,1
"Alabama",1993,"Human","Natural out",2,2
"Alabama",1993,"Human","Unknown",0.05,11
"Alabama",1993,"Human","Unknown",2,56
"Alabama",1993,"Human","Unknown",22,19
"Alabama",1993,"Human","Unknown",262.5,1
"Alabama",1993,"Natural","Unknown",0.05,4
"Alabama",1993,"Natural","Unknown",2,13
"Alabama",1993,"Natural","Unknown",22,8
"Alabama",1994,"","False Alarm",NA,1
"Alabama",1994,"Human","Active/Suppressed",0.05,4
"Alabama",1994,"Human","Active/Suppressed",2,20
"Alabama",1994,"Human","Active/Suppressed",22,5
"Alabama",1994,"Human","Natural out",2,1
"Alabama",1994,"Human","Prescribed fire",22,1
"Alabama",1994,"Human","Unknown",0.05,3
"Alabama",1994,"Human","Unknown",2,24
"Alabama",1994,"Human","Unknown",22,20
"Alabama",1994,"Human","Unknown",80,1
"Alabama",1994,"Natural","Active/Suppressed",0.05,1
"Alabama",1994,"Natural","Active/Suppressed",22,1
"Alabama",1994,"Natural","Unknown",2,4
"Alabama",1994,"Natural","Unknown",22,5
"Alabama",1994,"Natural","Unknown",80,2
"Alabama",1995,"Human","Active/Suppressed",0.05,1
"Alabama",1995,"Human","Active/Suppressed",2,23
"Alabama",1995,"Human","Active/Suppressed",22,4
"Alabama",1995,"Human","Active/Suppressed",80,1
"Alabama",1995,"Human","Natural out",22,1
"Alabama",1995,"Human","Unknown",0.05,4
"Alabama",1995,"Human","Unknown",2,47
"Alabama",1995,"Human","Unknown",22,20
"Alabama",1995,"Human","Unknown",80,1
"Alabama",1995,"Human","Unknown",1214,1
"Alabama",1995,"Natural","Unknown",0.05,1
